Address,RBN Balance,Time Left (in seconds),Penalty Ratio,Penalty Rebate,Unlock Reward Before,Unlock Reward After
0x99ED04C212dD3929E9063bd78B26Ef41858CB62C,19470.002565 RBN,8316000,0.131849,1283.553251 RBN,16902.896062 RBN,18186.449314 RBN
0x68Dc0f7ba4eFc952B23e6caCfdf11dE87b54a909,10000.174678 RBN,31903200,0.505822,2529.153767 RBN,4941.867144 RBN,7471.020911 RBN
0xf6a020960A15d942056F7F920064757A47937F1E,10.000000 RBN,2872800,0.045548,0.227740 RBN,9.544521 RBN,9.772260 RBN
0x0CFdFB55841bF953097d8F41b9bfd985A6BFadD9,7819.141360 RBN,54885600,0.750000,2932.178010 RBN,1954.785340 RBN,4886.963350 RBN
0x2c4Be4A8e562D636889Edc52F18019e2C2ff39e7,44491.853667 RBN,453600,0.007192,159.987830 RBN,44171.878007 RBN,44331.865837 RBN
0x706568707620a44A2463ace5edac48fdc864e9C5,1799.228174 RBN,31903200,0.505822,455.044523 RBN,889.139129 RBN,1344.183651 RBN
0x48444712A0B97f0775AD575B1a744Aaf54F625DC,17335.571817 RBN,49442400,0.750000,6500.839431 RBN,4333.892954 RBN,10834.732386 RBN
0x643cd42f6FebBB0C6417169657161CDCc0bF4AAB,1813.598929 RBN,31903200,0.505822,458.679044 RBN,896.240841 RBN,1354.919885 RBN
0x0D703ccD7DeBd7f6F4B0fFB29d2d710D19b09025,16272.250974 RBN,50652000,0.750000,6102.094115 RBN,4068.062743 RBN,10170.156859 RBN
0x52dC01082fC06a78eF3910C101b7823df3277355,10208.471475 RBN,60933600,0.750000,3828.176803 RBN,2552.117869 RBN,6380.294672 RBN
0x1f194C6a5B535393D28DDf8025F7F2d87dC68467,415.469456 RBN,453600,0.007192,1.493983 RBN,412.481491 RBN,413.975473 RBN
0xe9ce2ed0D2bad6F082E3f346c7D52FA4B1B436da,6228.244008 RBN,31903200,0.505822,1575.191164 RBN,3077.861679 RBN,4653.052844 RBN
0xB0ebEeAc1a25CC7Ba8e429D5f8fA911de3f2672B,6209.632366 RBN,31903200,0.505822,1570.484076 RBN,3068.664214 RBN,4639.148290 RBN
0x1E43155529b73C06d62CE4E07e0Cafb102eed84D,3818.084600 RBN,31903200,0.505822,965.635437 RBN,1886.813725 RBN,2852.449162 RBN
0x3e604b0c39E38Ab3babd79883efE6D0A266d6d85,799.081167 RBN,31903200,0.505822,202.096384 RBN,394.888399 RBN,596.984783 RBN
0x1fb10dC9905C83a3Ca12e53B14FBa7E1a57e3ceb,15179.856772 RBN,39765600,0.630479,4785.293890 RBN,5609.268992 RBN,10394.562882 RBN
0x8d91FA572eAc544C9a77e7c950cdD23983d90CB0,121.891114 RBN,31903200,0.505822,30.827599 RBN,60.235917 RBN,91.063516 RBN
0xc851ed6F7B9E0b0bC20998c9fD6a133fe978aC1b,2160.092629 RBN,58514400,0.750000,810.034736 RBN,540.023157 RBN,1350.057893 RBN
0xe569d2E298Ca4Ac8228954A985949436Cd65259B,409.506437 RBN,58514400,0.750000,153.564914 RBN,102.376609 RBN,255.941523 RBN
0xc99Bcab0dAAF45F86ef8787c6577eE9d973B817F,19030.886102 RBN,57909600,0.750000,7136.582288 RBN,4757.721525 RBN,11894.303814 RBN
0xDe99eA535749F02dA84D13E6F8253291e32d3a7F,5772.000000 RBN,31903200,0.505822,1459.802055 RBN,2852.395890 RBN,4312.197945 RBN
0x5d81416De258Fa01CCA5072561aBF53f1aD0d453,10820.577322 RBN,37346400,0.592123,3203.557909 RBN,4413.461504 RBN,7617.019413 RBN
0x29A8458b43EFf9ecA4509a50B5767AB272e5c0A1,12549.111883 RBN,453600,0.007192,45.125231 RBN,12458.861421 RBN,12503.986652 RBN
0x1200Eb4fA3dF9903fC6EfF1d7A4a5D17502329b2,33692.374974 RBN,45813600,0.726370,12236.562897 RBN,9219.249179 RBN,21455.812077 RBN
0xBD1f7d88C76A86C60d41bDDD4819fAe404e7151E,4500.000000 RBN,453600,0.007192,16.181507 RBN,4467.636986 RBN,4483.818493 RBN
0x7E689975c768EF505ba088aBA3996D76c75Cbd56,145507.072936 RBN,31903200,0.505822,36800.333343 RBN,71906.406249 RBN,108706.739592 RBN
0xc4b74Ae89Ef93E683fB4AFba8e118d730313D45A,5027.798218 RBN,31903200,0.505822,1271.585269 RBN,2484.627681 RBN,3756.212950 RBN
0x975793c7A6a077221aCa4E4FB9B7f9A46378463a,6771.042994 RBN,31903200,0.505822,1712.470976 RBN,3346.101041 RBN,5058.572017 RBN
0x089105eAA0C942128338766Ac27014715B222a12,1000.000000 RBN,453600,0.007192,3.595890 RBN,992.808219 RBN,996.404110 RBN
0x4e5471235E5077057f1CE35938d4a5BA54Dd1487,26563.862608 RBN,38556000,0.611301,8119.262801 RBN,10325.337007 RBN,18444.599808 RBN
0x8D5D013b906cee14d5CB0a4E930F1fDC4D7c124a,11000.000000 RBN,31903200,0.505822,2782.020548 RBN,5435.958904 RBN,8217.979452 RBN
0xe8787b5a359c30318D9b805651D18275f33Fa1Bd,698.907945 RBN,31903200,0.505822,176.761479 RBN,345.384988 RBN,522.146466 RBN
0xF41ace4CA5f9Ac383EfD6cf0f6BE544E7f7801A1,5592.318061 RBN,453600,0.007192,20.109363 RBN,5552.099335 RBN,5572.208698 RBN
0xaF11495f021c5c2c5F5230f40d5d57EBe4059700,105380.838548 RBN,40370400,0.640068,33725.477268 RBN,37929.884012 RBN,71655.361280 RBN
0x51C1B96Dd62954FC80092702C9b215cB57F24326,217.587527 RBN,453600,0.007192,0.782421 RBN,216.022685 RBN,216.805106 RBN
0x9E1e303635910c2d398647313170b11FC41cb0dC,270269.915798 RBN,3477600,0.055137,7450.934323 RBN,255368.047153 RBN,262818.981476 RBN
0x20eBE30b746fc22803DC5A8516DEaae07dddBB76,118487.296234 RBN,57304800,0.750000,44432.736088 RBN,29621.824059 RBN,74054.560146 RBN
0x9f3Ef50Ea64ADAD5B33F1F8222760CFBF42007F7,607.181889 RBN,31903200,0.505822,153.562954 RBN,300.055982 RBN,453.618936 RBN
0xac727f8BAe7D66a5376085768562C30Edbd2A1D2,7724.770600 RBN,31903200,0.505822,1953.679140 RBN,3817.412321 RBN,5771.091460 RBN
0x5acfbbF0aA370F232E341BC0B1a40e996c960e07,9732.024458 RBN,53071200,0.750000,3649.509172 RBN,2433.006114 RBN,6082.515286 RBN
0x8Ae20FaBeB608Fd307Fc1eA15A294340a547d501,444.347415 RBN,31903200,0.505822,112.380331 RBN,219.586753 RBN,331.967084 RBN
0x30cB353847C13983D0576c04b2D5D762d813Cc26,10139.906797 RBN,31903200,0.505822,2564.493551 RBN,5010.919695 RBN,7575.413246 RBN
0x9db1D99D1C79A3A2C0123fcd0abB13d9B7c75657,4897.809761 RBN,8316000,0.131849,322.886431 RBN,4252.036899 RBN,4574.923330 RBN
0xcF63E1C31805254b6fB3Ed7829206c2b2505e3a7,169260.851474 RBN,37346400,0.592123,50111.645924 RBN,69037.559625 RBN,119149.205550 RBN
0x08f53326D22840242daE403d62C866eb80c4251A,9354.434911 RBN,55490400,0.750000,3507.913092 RBN,2338.608728 RBN,5846.521820 RBN
0x74e2f04DEF059397d4a3382Fd4a85dF062D75bF4,1530.217432 RBN,31903200,0.505822,387.008758 RBN,756.199916 RBN,1143.208674 RBN
0x391891Af67E29D97E61E30C3036a0874F5Da411e,156759.518341 RBN,5896800,0.093493,7327.970635 RBN,142103.577071 RBN,149431.547706 RBN
0xf32FC1113f4769f59984d615e91A8e94548F2790,10692.233192 RBN,31903200,0.505822,2704.182949 RBN,5283.867293 RBN,7988.050242 RBN
0xB75aDA8cc810c8B1c32ef64Cf7DFF4B21B12305A,7170.118329 RBN,57909600,0.750000,2688.794373 RBN,1792.529582 RBN,4481.323956 RBN
0xD589a999B7F71365939bC2a96249e2B9ea315685,5884.453951 RBN,31903200,0.505822,1488.242891 RBN,2907.968168 RBN,4396.211060 RBN
0x29bb3D538C35F4dE63d9988F68Af829F07fCa513,9235.463664 RBN,47628000,0.750000,3463.298874 RBN,2308.865916 RBN,5772.164790 RBN
0x5b335A6B238e13BBD00a7BC04dFe810534da02f7,3105.978436 RBN,49442400,0.750000,1164.741913 RBN,776.494609 RBN,1941.236522 RBN
0xCcff041FAEb4afDa1cF84B0c082D907387291453,1685.273253 RBN,31903200,0.505822,426.224075 RBN,832.825104 RBN,1259.049179 RBN
0x297b3C4B8bB87E671d31C475C5DbE434E24dFC1F,983.980809 RBN,453600,0.007192,3.538287 RBN,976.904235 RBN,980.442522 RBN
0x8Aa4e298AaeA6C8e5ccca0804E9cD517Aa7BA28a,145661.279266 RBN,2872800,0.045548,3317.285983 RBN,139026.707300 RBN,142343.993283 RBN
0xc5dF86124b4fb66F0Edb26AA0E9c5B2DB8f448fB,2035.224646 RBN,31903200,0.505822,514.730617 RBN,1005.763412 RBN,1520.494029 RBN
0x9a777afca09C5C483082BF589552350AcCDec0f6,6276.830086 RBN,31903200,0.505822,1587.479116 RBN,3101.871854 RBN,4689.350970 RBN
0xfFba44c15Fe2768bC2234078dfac8c5A651A56e9,35411.030404 RBN,31903200,0.505822,8955.837655 RBN,17499.355093 RBN,26455.192749 RBN
0x9adcdC109dc88ADC2E1493829e1bdf59635A4692,94027.316027 RBN,57909600,0.750000,35260.243510 RBN,23506.829007 RBN,58767.072517 RBN
0xF65312Bd492729B06Ec42589ded755d63193bbF4,2607.650107 RBN,453600,0.007192,9.376824 RBN,2588.896459 RBN,2598.273283 RBN
0x62E1D5ADfB8826515DDF897BF32ae397b9735208,64636.670619 RBN,31903200,0.505822,16347.322347 RBN,31942.025926 RBN,48289.348273 RBN
0x77e8e466a2B0223596671F56E6a238561c8d5bfe,108.368225 RBN,31903200,0.505822,27.407512 RBN,53.553202 RBN,80.960713 RBN
0x818293cc466b91d158555FE7736aFC05E9B84d0c,2618.288053 RBN,453600,0.007192,9.415077 RBN,2599.457899 RBN,2608.872976 RBN
0x2880a6bb2cD1DF6E03dC8BbFBEd009DE586c2603,21413.871233 RBN,55490400,0.750000,8030.201712 RBN,5353.467808 RBN,13383.669521 RBN
0x7d7Fea3Cea7BfA805006B9CE1A842054b8490052,35886.226542 RBN,46418400,0.735959,13205.393979 RBN,9475.438584 RBN,22680.832563 RBN
0x17C63868E3Ab7DA20ADcF8C27D4eE46FdeC1c325,2646.577116 RBN,31903200,0.505822,669.348356 RBN,1307.880404 RBN,1977.228760 RBN
0x1D084b69F49660aAB854F0108E19D47aB7b41AE3,14268.950474 RBN,31903200,0.505822,3608.773947 RBN,7051.402580 RBN,10660.176527 RBN
0x137F8A607B8dc00CfBA0f0b18d5eB8d304C88BC4,2000.000002 RBN,31903200,0.505822,505.821918 RBN,988.356166 RBN,1494.178084 RBN
0x95faE816fa4d8BF01357F474A3e50009bfA40132,35004.000000 RBN,31903200,0.505822,8852.895205 RBN,17298.209589 RBN,26151.104795 RBN
0x9628bE77Fb3dcd890fD93A5d039092FcA855D3cC,333.825102 RBN,32508000,0.515411,86.028558 RBN,161.767986 RBN,247.796544 RBN
