Address,RBN Balance,Time Left (in seconds),Penalty Ratio,Penalty Rebate,Unlock Reward Before,Penalty Reward After
0x8D5D013b906cee14d5CB0a4E930F1fDC4D7c124a,11000 RBN,31903200,0.51,2782.02 RBN,5435.00 RBN,5435.00 RBN
0xe8787b5a359c30318D9b805651D18275f33Fa1Bd,698 RBN,31903200,0.51,176.76 RBN,345.00 RBN,345.00 RBN
0xF41ace4CA5f9Ac383EfD6cf0f6BE544E7f7801A1,5592 RBN,453600,0.01,20.11 RBN,5552.00 RBN,5552.00 RBN
0xaF11495f021c5c2c5F5230f40d5d57EBe4059700,105380 RBN,40370400,0.64,33725.48 RBN,37929.00 RBN,37929.00 RBN
0x51C1B96Dd62954FC80092702C9b215cB57F24326,217 RBN,453600,0.01,0.78 RBN,216.00 RBN,216.00 RBN
0x9E1e303635910c2d398647313170b11FC41cb0dC,270269 RBN,3477600,0.06,7450.93 RBN,255368.00 RBN,255368.00 RBN
0x20eBE30b746fc22803DC5A8516DEaae07dddBB76,118487 RBN,57304800,0.75,44432.74 RBN,29621.00 RBN,29621.00 RBN
0x9f3Ef50Ea64ADAD5B33F1F8222760CFBF42007F7,607 RBN,31903200,0.51,153.56 RBN,300.00 RBN,300.00 RBN
0xac727f8BAe7D66a5376085768562C30Edbd2A1D2,7724 RBN,31903200,0.51,1953.68 RBN,3817.00 RBN,3817.00 RBN
0x5acfbbF0aA370F232E341BC0B1a40e996c960e07,9732 RBN,53071200,0.75,3649.51 RBN,2433.00 RBN,2433.00 RBN
0x8Ae20FaBeB608Fd307Fc1eA15A294340a547d501,444 RBN,31903200,0.51,112.38 RBN,219.00 RBN,219.00 RBN
0x30cB353847C13983D0576c04b2D5D762d813Cc26,10139 RBN,31903200,0.51,2564.49 RBN,5010.00 RBN,5010.00 RBN
0x9db1D99D1C79A3A2C0123fcd0abB13d9B7c75657,4897 RBN,8316000,0.13,322.89 RBN,4252.00 RBN,4252.00 RBN
0xcF63E1C31805254b6fB3Ed7829206c2b2505e3a7,169260 RBN,37346400,0.59,50111.65 RBN,69037.00 RBN,69037.00 RBN
0x08f53326D22840242daE403d62C866eb80c4251A,9354 RBN,55490400,0.75,3507.91 RBN,2338.00 RBN,2338.00 RBN
0x74e2f04DEF059397d4a3382Fd4a85dF062D75bF4,1530 RBN,31903200,0.51,387.01 RBN,756.00 RBN,756.00 RBN
0x391891Af67E29D97E61E30C3036a0874F5Da411e,156759 RBN,5896800,0.09,7327.97 RBN,142103.00 RBN,142103.00 RBN
0xf32FC1113f4769f59984d615e91A8e94548F2790,10692 RBN,31903200,0.51,2704.18 RBN,5283.00 RBN,5283.00 RBN
0xB75aDA8cc810c8B1c32ef64Cf7DFF4B21B12305A,7170 RBN,57909600,0.75,2688.79 RBN,1792.00 RBN,1792.00 RBN
0xD589a999B7F71365939bC2a96249e2B9ea315685,5884 RBN,31903200,0.51,1488.24 RBN,2907.00 RBN,2907.00 RBN
0x29bb3D538C35F4dE63d9988F68Af829F07fCa513,9235 RBN,47628000,0.75,3463.30 RBN,2308.00 RBN,2308.00 RBN
0x5b335A6B238e13BBD00a7BC04dFe810534da02f7,3105 RBN,49442400,0.75,1164.74 RBN,776.00 RBN,776.00 RBN
0xCcff041FAEb4afDa1cF84B0c082D907387291453,1685 RBN,31903200,0.51,426.22 RBN,832.00 RBN,832.00 RBN
0x297b3C4B8bB87E671d31C475C5DbE434E24dFC1F,983 RBN,453600,0.01,3.54 RBN,976.00 RBN,976.00 RBN
0x8Aa4e298AaeA6C8e5ccca0804E9cD517Aa7BA28a,145661 RBN,2872800,0.05,3317.29 RBN,139026.00 RBN,139026.00 RBN
0xc5dF86124b4fb66F0Edb26AA0E9c5B2DB8f448fB,2035 RBN,31903200,0.51,514.73 RBN,1005.00 RBN,1005.00 RBN
0x9a777afca09C5C483082BF589552350AcCDec0f6,6276 RBN,31903200,0.51,1587.48 RBN,3101.00 RBN,3101.00 RBN
0xfFba44c15Fe2768bC2234078dfac8c5A651A56e9,35411 RBN,31903200,0.51,8955.84 RBN,17499.00 RBN,17499.00 RBN
0x9adcdC109dc88ADC2E1493829e1bdf59635A4692,94027 RBN,57909600,0.75,35260.24 RBN,23506.00 RBN,23506.00 RBN
0xF65312Bd492729B06Ec42589ded755d63193bbF4,2607 RBN,453600,0.01,9.38 RBN,2588.00 RBN,2588.00 RBN
0x62E1D5ADfB8826515DDF897BF32ae397b9735208,64636 RBN,31903200,0.51,16347.32 RBN,31942.00 RBN,31942.00 RBN
0x77e8e466a2B0223596671F56E6a238561c8d5bfe,108 RBN,31903200,0.51,27.41 RBN,53.00 RBN,53.00 RBN
0x818293cc466b91d158555FE7736aFC05E9B84d0c,2618 RBN,453600,0.01,9.42 RBN,2599.00 RBN,2599.00 RBN
0x2880a6bb2cD1DF6E03dC8BbFBEd009DE586c2603,21413 RBN,55490400,0.75,8030.20 RBN,5353.00 RBN,5353.00 RBN
0x7d7Fea3Cea7BfA805006B9CE1A842054b8490052,35886 RBN,46418400,0.74,13205.39 RBN,9475.00 RBN,9475.00 RBN
0x17C63868E3Ab7DA20ADcF8C27D4eE46FdeC1c325,2646 RBN,31903200,0.51,669.35 RBN,1307.00 RBN,1307.00 RBN
0x1D084b69F49660aAB854F0108E19D47aB7b41AE3,14268 RBN,31903200,0.51,3608.77 RBN,7051.00 RBN,7051.00 RBN
0x137F8A607B8dc00CfBA0f0b18d5eB8d304C88BC4,2000 RBN,31903200,0.51,505.82 RBN,988.00 RBN,988.00 RBN
0x95faE816fa4d8BF01357F474A3e50009bfA40132,35004 RBN,31903200,0.51,8852.90 RBN,17298.00 RBN,17298.00 RBN
0x9628bE77Fb3dcd890fD93A5d039092FcA855D3cC,333 RBN,32508000,0.52,86.03 RBN,161.00 RBN,161.00 RBN
0x25125E438b7Ae0f9AE8511D83aBB0F4574217C7a,14000 RBN,32508000,0.52,3607.88 RBN,6784.00 RBN,6784.00 RBN
0x920Eb8ca79F07Eb3bFc39c324c8113948ed3104C,4387 RBN,44604000,0.71,1551.27 RBN,1284.00 RBN,1284.00 RBN
0x46566dA2acbAD455Fb91912483f584B6F35C42Ea,1103 RBN,32508000,0.52,284.34 RBN,534.00 RBN,534.00 RBN
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,46044 RBN,59724000,0.75,17266.83 RBN,11511.00 RBN,11511.00 RBN
0x8437A6D1BfEcd8710405169fa03194B3D1248F43,3205 RBN,32508000,0.52,826.19 RBN,1553.00 RBN,1553.00 RBN
0x9679139108B491dC26fe90f4FaA2ca656e6f8b69,1207 RBN,32508000,0.52,311.05 RBN,584.00 RBN,584.00 RBN
0xe15ACdBcF0ad8119576178f1f6C2dCb261c2024c,2996 RBN,11340000,0.18,269.41 RBN,2458.00 RBN,2458.00 RBN
0x93212F3F255F07450E2F3177cA0F24BdeE54234d,1965 RBN,32508000,0.52,506.65 RBN,952.00 RBN,952.00 RBN
0x81Ba93B26bCe8cA5d649B6607DF15E6D45462D8F,189 RBN,32508000,0.52,48.83 RBN,91.00 RBN,91.00 RBN
0xC9d13Bdcf27B24569d02D28411a9F20852fA8A0a,200 RBN,62748000,0.75,75.16 RBN,50.00 RBN,50.00 RBN
0x364F7Fd945B8c76C3C77d6ac253f1fEa3B65E00d,2750 RBN,60933600,0.75,1031.53 RBN,687.00 RBN,687.00 RBN
0x0C5a2C72C009252f0E7312f5a1Ab87de02be6FBE,1 RBN,32508000,0.52,0.26 RBN,0.00 RBN,0.00 RBN
0x35e057137060Cd397bd82e3dfF54BEba480e7012,20006 RBN,453600,0.01,71.94 RBN,19863.00 RBN,19863.00 RBN
0xb0B57738f1A0752d860Aa39C07955BC960284aa8,13250 RBN,32508000,0.52,3414.62 RBN,6420.00 RBN,6420.00 RBN
0xDF93B5ec8Eb9407F03fF14a2E2B3eE4196fcD8b0,3239 RBN,16178400,0.26,415.46 RBN,2408.00 RBN,2408.00 RBN
0x77B691DeC38da63B60b4adB4c153A17C18e29Ce7,2300 RBN,32508000,0.52,592.73 RBN,1114.00 RBN,1114.00 RBN
0x6bCdea080E39728a09B2ed69399e0253B0761b7a,79 RBN,1058400,0.02,0.67 RBN,78.00 RBN,78.00 RBN
0xc219CafDE6855f60dA76d9cacC3873fda65516E6,18150 RBN,34927200,0.55,5025.65 RBN,8099.00 RBN,8099.00 RBN
0x7B82DdcAC8d0b137A09590838057c0a9d5BaE3C3,28 RBN,1058400,0.02,0.24 RBN,28.00 RBN,28.00 RBN
0x03fB1fd0FEC2fB4D979b2E30a4AdFaF868f85f0F,4921 RBN,43999200,0.70,1716.65 RBN,1488.00 RBN,1488.00 RBN
0x47Ed49b4EAdcE83993B005Fd4456CDF66404d58d,70487 RBN,13154400,0.21,7350.46 RBN,55786.00 RBN,55786.00 RBN
0xD925e71b56A84f8763895A6939320a2465D2618f,1014 RBN,32508000,0.52,261.50 RBN,491.00 RBN,491.00 RBN
0x0fa7744874bFedFC3D67AB57253d840be685FDC2,4239 RBN,48232800,0.75,1589.94 RBN,1059.00 RBN,1059.00 RBN
0x02eF8147E2D0997cCA48d99f01bAD846D16558fa,15127 RBN,32508000,0.52,3898.51 RBN,7330.00 RBN,7330.00 RBN
0x81324A39570Bba1722A3CbE4A4CD372C24d084d4,4683 RBN,32508000,0.52,1207.00 RBN,2269.00 RBN,2269.00 RBN
0x8F688a91695F7D2a1E93e57cedcbf5c5202f617b,47552 RBN,32508000,0.52,12254.60 RBN,23043.00 RBN,23043.00 RBN
0x65B4f70084d86590c52d93Cc9080e4F4d92EA61A,4166 RBN,32508000,0.52,1073.65 RBN,2018.00 RBN,2018.00 RBN
0x5aBd0ffEA71DA700905C359cE0D0408Fa78D120A,9225 RBN,32508000,0.52,2377.34 RBN,4470.00 RBN,4470.00 RBN
0x85F15c9B2bFA79805205eD1df3570Ad0875A24b2,5624 RBN,1058400,0.02,47.20 RBN,5530.00 RBN,5530.00 RBN
0x704d40D9212e511842FeE1b667020a471eBe9CE0,8461 RBN,32508000,0.52,2180.45 RBN,4100.00 RBN,4100.00 RBN
0xb4fbd802d9dc5C0208346c311BCB6B9ECFF468C6,248 RBN,32508000,0.52,64.08 RBN,120.00 RBN,120.00 RBN
0xb41C77b430e7f36f8B78c5c580828a5C62FDC352,25399 RBN,1058400,0.02,213.11 RBN,24973.00 RBN,24973.00 RBN
0xd5d7Ec0C74c401835bD87820afC21B5a207D7eBC,20728 RBN,48232800,0.75,7773.12 RBN,5182.00 RBN,5182.00 RBN
0xBD49463BA31fCdbc816ebb1342c6bF1d3dee2373,10464 RBN,1058400,0.02,87.81 RBN,10289.00 RBN,10289.00 RBN
0x1D7A3a25Ec3Eb937A7846575cd36Ad01d67a01Dd,11155 RBN,32508000,0.52,2874.80 RBN,5405.00 RBN,5405.00 RBN
0xA3edae9a1FEe5CB742404ADD3836E8Eaed3dBbDb,1150 RBN,32508000,0.52,296.36 RBN,557.00 RBN,557.00 RBN
0x9F960AcD821C28fD9aa9b017aa361B1Ae744dCC7,1000 RBN,32508000,0.52,257.71 RBN,484.00 RBN,484.00 RBN
0xFda1215797D29414E588B2e62fC390Ee2949aaAA,10021 RBN,34322400,0.54,2726.75 RBN,4568.00 RBN,4568.00 RBN
0xDa0C6Ab78E9c730D99a5C83c574C40c5DC31aC41,1727 RBN,1058400,0.02,14.49 RBN,1698.00 RBN,1698.00 RBN
0x172F86ac7711f5dC024934649353BF864aF5055c,4245 RBN,24645600,0.39,829.50 RBN,2586.00 RBN,2586.00 RBN
0x3aF42E1100715a6E56aBcaDB3F7D700999FA6689,174 RBN,32508000,0.52,44.93 RBN,84.00 RBN,84.00 RBN
